iter	Passed	Remaining
378	1706	2795
379	1711	2792
380	1718	2791
381	1723	2788
382	1729	2785
383	1730	2775
384	1737	2775
385	1739	2766
386	1744	2763
387	1751	2762
388	1757	2760
389	1762	2757
390	1768	2754
391	1773	2750
392	1779	2748
393	1785	2746
394	1790	2742
395	1796	2740
396	1802	2737
397	1804	2729
398	1810	2726
399	1815	2723
400	1821	2720
401	1827	2718
402	1834	2717
403	1840	2714
404	1848	2715
405	1854	2712
406	1861	2711
407	1866	2708
408	1867	2699
409	1873	2696
410	1876	2689
411	1882	2686
412	1888	2683
413	1889	2675
414	1896	2673
415	1902	2670
416	1904	2662
417	1910	2660
418	1916	2658
419	1923	2655
420	1925	2648
421	1931	2646
422	1933	2636
423	1940	2636
424	1948	2635
425	1954	2633
426	1955	2624
427	1958	2617
428	1964	2614
429	1971	2613
430	1976	2609
431	1977	2600
432	1979	2591
433	1980	2582
434	1985	2578
435	1992	2577
436	1998	2575
437	2001	2568
438	2004	2561
439	2006	2553
440	2011	2549
441	2017	2546
442	2022	2543
443	2023	2533
444	2027	2529
445	2028	2519
446	2030	2511
447	2031	2503
448	2034	2497
449	2039	2493
450	2045	2489
451	2051	2486
452	2057	2484
453	2063	2481
454	2064	2472
455	2069	2469
456	2071	2461
457	2076	2457
458	2082	2454
459	2084	2447
460	2089	2443
461	2095	2440
462	2101	2436
463	2107	2434
464	2113	2431
465	2118	2427
466	2119	2419
467	2121	2411
468	2127	2409
469	2131	2403
470	2137	2400
471	2142	2397
472	2149	2394
473	2154	2391
474	2161	2388
475	2162	2380
476	2168	2377
477	2170	2369
478	2176	2366
479	2182	2364
480	2188	2360
481	2194	2358
482	2196	2350
483	2199	2344
484	2205	2341
485	2210	2338
486	2216	2334
487	2221	2331
488	2227	2328
489	2233	2324
490	2239	2321
491	2244	2317
492	2249	2313
493	2250	2305
494	2251	2297
495	2257	2294
496	2258	2285
497	2263	2281
498	2269	2278
499	2275	2275
500	2280	2271
501	2286	2268
502	2291	2264
503	2297	2261
504	2303	2258
505	2304	2250
506	2310	2246
507	2317	2244
508	2323	2241
509	2328	2237
510	2336	2235
511	2338	2228
512	2340	2222
513	2341	2214
514	2347	2210
515	2349	2204
516	2354	2200
517	2356	2192
518	2359	2186
519	2364	2183
520	2366	2175
521	2372	2172
522	2377	2168
523	2383	2165
524	2385	2158
525	2390	2154
526	2391	2146
527	2397	2143
528	2402	2139
529	2407	2135
530	2413	2131
531	2414	2124
532	2420	2120
533	2425	2117
534	2432	2113
535	2437	2110
536	2443	2106
537	2444	2099
538	2449	2095
539	2451	2088
540	2456	2084
541	2458	2077
542	2459	2069
543	2465	2066
544	2470	2062
545	2476	2059
546	2481	2055
547	2487	2051
548	2494	2049
549	2499	2045
550	2506	2042
551	2512	2038
552	2517	2034
553	2525	2032
554	2531	2029
555	2539	2027
556	2544	2023
557	2549	2019
558	2555	2016
559	2561	2012
560	2562	2005
561	2567	2001
562	2573	1997
563	2578	1993
564	2584	1989
565	2590	1986
566	2595	1982
567	2601	1978
568	2607	1974
569	2612	1971
570	2618	1967
571	2624	1963
572	2630	1960
573	2631	1953
574	2637	1949
575	2643	1945
576	2644	1938
577	2649	1934
578	2655	1930
579	2661	1926
580	2667	1923
581	2668	1916
582	2674	1912
583	2679	1908
584	2685	1905
585	2691	1901
586	2697	1898
587	2703	1894
588	2710	1891
589	2716	1887
590	2722	1884
591	2729	1880
592	2730	1873
593	2735	1869
594	2737	1863
595	2742	1859
596	2744	1852
597	2750	1848
598	2753	1843
599	2756	1837
600	2762	1833
601	2765	1828
602	2770	1824
603	2776	1820
604	2778	1813
605	2783	1809
606	2784	1802
607	2786	1796
608	2791	1792
609	2792	1785
610	2798	1781
611	2803	1777
612	2810	1774
613	2816	1770
614	2822	1766
615	2823	1759
616	2828	1755
617	2833	1751
618	2834	1744
619	2835	1737
620	2841	1734
621	2846	1729
622	2852	1726
623	2858	1722
624	2861	1716
625	2866	1712
626	2872	1708
627	2878	1704
628	2881	1699
629	2887	1695
630	2889	1689
631	2890	1683
632	2896	1679
633	2906	1677
634	2913	1674
635	2925	1674
636	2932	1670
637	2934	1665
638	2935	1658
639	2940	1654
640	2946	1650
641	2947	1643
642	2948	1637
643	2953	1632
644	2955	1626
645	2960	1622
646	2966	1618
647	2972	1614
648	2973	1608
649	2978	1603
650	2984	1599
651	2985	1593
652	2990	1588
653	2996	1585
654	3002	1581
655	3007	1577
656	3013	1573
657	3019	1569
658	3024	1564
659	3030	1561
660	3035	1557
661	3041	1552
662	3047	1549
663	3053	1544
664	3058	1540
665	3064	1536
666	3065	1530
667	3070	1526
668	3077	1522
669	3082	1518
670	3087	1514
671	3094	1510
672	3100	1506
673	3118	1508
674	3119	1502
675	3143	1506
676	3151	1503
677	3157	1499
678	3165	1496
679	3174	1493
680	3181	1490
681	3186	1485
682	3191	1481
683	3197	1477
684	3198	1470
685	3203	1466
686	3209	1462
687	3215	1458
688	3221	1453
689	3226	1449
690	3232	1445
691	3238	1441
692	3244	1437
693	3249	1432
694	3254	1428
695	3260	1424
696	3265	1419
697	3271	1415
698	3274	1409
699	3280	1405
700	3286	1401
701	3292	1397
702	3299	1394
703	3305	1389
704	3309	1384
705	3314	1380
706	3320	1375
707	3326	1372
708	3327	1365
709	3333	1361
710	3339	1357
711	3344	1352
712	3350	1348
713	3356	1344
714	3361	1339
715	3367	1335
716	3368	1329
717	3373	1325
718	3379	1320
719	3385	1316
720	3391	1312
721	3397	1308
722	3403	1303
723	3408	1299
724	3413	1294
725	3419	1290
726	3425	1286
727	3426	1280
728	3432	1275
729	3437	1271
730	3443	1267
731	3448	1262
732	3454	1258
733	3459	1253
734	3465	1249
735	3471	1245
736	3472	1239
737	3478	1234
738	3485	1231
739	3491	1226
740	3498	1222
741	3505	1218
742	3510	1214
743	3516	1210
744	3517	1204
745	3523	1199
746	3528	1195
747	3534	1190
748	3539	1186
749	3545	1181
750	3550	1177
751	3556	1172
752	3562	1168
753	3568	1164
754	3573	1159
755	3579	1155
756	3584	1150
757	3590	1146
758	3595	1141
759	3596	1135
760	3601	1131
761	3602	1125
762	3609	1121
763	3614	1116
764	3620	1112
765	3626	1107
766	3631	1103
767	3636	1098
768	3642	1094
769	3648	1089
770	3654	1085
771	3660	1081
772	3666	1076
773	3673	1072
774	3679	1068
775	3685	1063
776	3692	1059
777	3698	1055
778	3704	1051
779	3710	1046
780	3711	1040
781	3716	1036
782	3723	1031
783	3728	1027
784	3734	1022
785	3735	1017
786	3740	1012
787	3746	1007
788	3747	1002
789	3753	997
790	3759	993
791	3765	988
792	3771	984
793	3773	978
794	3778	974
795	3784	969
796	3790	965
797	3795	960
798	3801	956
799	3807	951
800	3812	947
801	3818	942
802	3819	937
803	3824	932
804	3830	927
805	3835	923
806	3841	918
807	3847	914
808	3852	909
809	3858	905
810	3859	899
811	3866	895
812	3872	890
813	3878	886
814	3884	881
815	3889	877
816	3896	872
817	3901	868
818	3906	863
819	3912	858
820	3917	854
821	3923	849
822	3929	845
823	3934	840
824	3939	835
825	3945	831
826	3951	826
827	3957	822
828	3962	817
829	3967	812
830	3973	808
831	3979	803
832	3985	798
833	3991	794
834	3996	789
835	4001	785
836	4008	780
837	4013	775
838	4019	771
839	4025	766
840	4030	762
841	4036	757
842	4042	752
843	4047	748
844	4053	743
845	4059	739
846	4066	734
847	4072	730
848	4078	725
849	4085	721
850	4091	716
851	4096	711
852	4102	707
853	4108	702
854	4113	697
855	4119	693
856	4125	688
857	4130	683
858	4136	679
859	4142	674
860	4148	669
861	4153	664
862	4159	660
863	4165	655
864	4171	650
865	4176	646
866	4183	641
867	4188	636
868	4194	632
869	4200	627
870	4205	622
871	4213	618
872	4218	613
873	4223	608
874	4229	604
875	4234	599
876	4240	594
877	4246	590
878	4253	585
879	4261	581
880	4268	576
881	4275	572
882	4281	567
883	4286	562
884	4292	557
885	4298	553
886	4304	548
887	4311	543
888	4317	539
889	4323	534
890	4328	529
891	4334	524
892	4340	520
893	4345	515
894	4351	510
895	4357	505
896	4362	500
897	4367	496
898	4373	491
899	4379	486
900	4384	481
901	4390	477
902	4396	472
903	4401	467
904	4407	462
905	4412	457
906	4418	453
907	4423	448
908	4429	443
909	4435	438
910	4441	433
911	4447	429
912	4453	424
913	4459	419
914	4465	414
915	4471	410
916	4477	405
917	4483	400
918	4489	395
919	4494	390
920	4500	386
921	4505	381
922	4510	376
923	4516	371
924	4521	366
925	4527	361
926	4532	356
927	4538	352
928	4543	347
929	4549	342
930	4554	337
931	4560	332
932	4566	327
933	4571	323
934	4577	318
935	4583	313
936	4588	308
937	4594	303
938	4599	298
939	4605	293
940	4611	289
941	4616	284
942	4622	279
943	4628	274
944	4634	269
945	4639	264
946	4647	260
947	4653	255
948	4660	250
949	4666	245
950	4673	240
951	4678	235
952	4684	231
953	4690	226
954	4696	221
955	4701	216
956	4707	211
957	4713	206
958	4719	201
959	4725	196
960	4730	191
961	4737	187
962	4742	182
963	4748	177
964	4754	172
965	4760	167
966	4765	162
967	4772	157
968	4777	152
969	4783	147
970	4789	143
971	4794	138
972	4800	133
973	4805	128
974	4811	123
975	4817	118
976	4822	113
977	4828	108
978	4835	103
979	4842	98
980	4847	93
981	4854	88
982	4859	84
983	4866	79
984	4871	74
985	4877	69
986	4883	64
987	4888	59
988	4895	54
989	4900	49
990	4906	44
991	4912	39
992	4917	34
993	4923	29
994	4929	24
995	4934	19
996	4939	14
997	4945	9
998	4950	4
999	4956	0
