iter	Logloss
0	0.6931261764
1	0.693118723
2	0.6931113111
3	0.6931019001
4	0.6930777051
5	0.6930504507
6	0.6930309785
7	0.6930154569
8	0.6929893182
9	0.6929646927
10	0.6929393515
11	0.6929143016
12	0.692908069
13	0.6928930886
14	0.6928733699
15	0.6928533656
16	0.6928290622
17	0.692812585
18	0.6927943514
19	0.6927705157
20	0.6927472132
21	0.6927206044
22	0.6926948781
23	0.6926759283
24	0.6926711019
25	0.6926514219
26	0.6926282554
27	0.6926068947
28	0.6926033187
29	0.6925870036
30	0.6925575584
31	0.69254054
32	0.6925179119
33	0.6924890332
34	0.6924621555
35	0.6924365814
36	0.6924176975
37	0.6923892621
38	0.6923765242
39	0.6923536232
40	0.6923371461
41	0.6923299118
42	0.6923033717
43	0.6922779614
44	0.6922533356
45	0.6922374041
46	0.6922100674
47	0.6921954426
48	0.6921789147
49	0.6921579496
50	0.6921360114
51	0.6921081208
52	0.6920874109
53	0.6920645863
54	0.692055546
55	0.6920375458
56	0.6920189911
57	0.6919951066
58	0.6919755129
59	0.6919519156
60	0.6919260341
61	0.6919028595
62	0.6918805099
63	0.6918612054
64	0.6918386642
65	0.6918199833
66	0.6917997916
67	0.6917762877
68	0.691753967
69	0.6917305108
70	0.6917219367
71	0.6917046696
72	0.691686618
73	0.6916751782
74	0.6916500664
75	0.6916255824
76	0.6915984834
77	0.6915791919
78	0.6915539954
79	0.6915278612
80	0.6915176842
81	0.6914948539
82	0.6914806971
83	0.6914557962
84	0.6914361633
85	0.6914129202
86	0.6913922161
87	0.6913666001
88	0.6913470528
89	0.6913299506
90	0.6913171318
91	0.6912922134
92	0.6912787992
93	0.691270731
94	0.6912437412
95	0.6912205978
96	0.6912031673
97	0.6911770375
98	0.6911533536
99	0.69113034
100	0.6911065351
101	0.6910828311
102	0.6910609991
103	0.6910358666
104	0.6910250349
105	0.6910029347
106	0.6909774293
107	0.6909549689
108	0.6909280932
109	0.6909036567
110	0.6908779304
111	0.690855857
112	0.6908327178
113	0.6908217657
114	0.690815019
115	0.6907967106
116	0.6907673282
117	0.690752133
118	0.6907374582
119	0.6907128335
120	0.6906896796
121	0.6906636387
122	0.6906529611
123	0.690632794
124	0.6906063586
125	0.6905871805
126	0.6905631105
127	0.6905390069
128	0.6905182028
129	0.6904917953
130	0.6904675837
131	0.6904397453
132	0.690416245
133	0.6903972424
134	0.6903704366
135	0.6903553705
136	0.6903286186
137	0.6903118945
138	0.6902884467
139	0.6902633221
140	0.6902385785
141	0.6902162222
142	0.6901950731
143	0.690176361
144	0.6901725059
145	0.6901627802
146	0.6901472788
147	0.6901240758
148	0.6901117795
149	0.6900901995
150	0.6900809512
151	0.6900564687
152	0.6900370812
153	0.6900145424
154	0.6899898412
155	0.6899626472
156	0.6899526468
157	0.6899259123
158	0.6899068328
159	0.6898856134
160	0.6898638142
161	0.6898394802
162	0.6898191446
163	0.6897964726
164	0.6897756327
165	0.6897536077
166	0.6897371204
167	0.6897157675
168	0.6896922372
169	0.6896784485
170	0.6896558239
171	0.689633113
172	0.6896075081
173	0.6895816213
174	0.6895598999
175	0.6895432187
176	0.6895162275
177	0.6895002096
178	0.6894771362
179	0.6894546872
180	0.6894470648
181	0.6894217517
182	0.6893975421
183	0.6893806936
184	0.6893571116
185	0.6893358377
186	0.6893130803
187	0.6892986742
188	0.6892754537
189	0.6892593223
190	0.6892348392
191	0.6892121283
192	0.6891918094
193	0.6891732931
194	0.6891485762
195	0.6891220412
196	0.6890998647
197	0.6890744426
198	0.6890536815
199	0.6890290648
200	0.6890142707
201	0.6889941717
202	0.6889660782
203	0.6889429855
204	0.6889358869
205	0.6889175697
206	0.6888920803
207	0.6888663837
208	0.6888418993
209	0.6888236608
210	0.6888051701
211	0.6887817812
212	0.6887625348
213	0.6887411413
214	0.6887259241
215	0.6887013967
216	0.6886863919
217	0.6886749769
218	0.6886576894
219	0.6886393565
220	0.6886139971
221	0.6885946517
222	0.6885727602
223	0.6885487565
224	0.6885241496
225	0.688497275
226	0.6884827662
227	0.6884677768
228	0.6884549008
229	0.6884378171
230	0.6884302214
